id	time	type
a8146e20-00ae-4291-b35f-ed0435380333	1492087383920	DagScheduler(BeginEvent(ResultTask(0, 8),org.apache.spark.scheduler.TaskInfo@51d407df))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383920	DagScheduler(CompletionEvent(ResultTask(0, 6),Success,Some(78588),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 6), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3870842), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 11), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 8145689), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1128), LongAccumulator(id: 6, name: Some(internal.metrics.resultSerializationTime), value: 1)),org.apache.spark.scheduler.TaskInfo@29527465))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383937	DagScheduler(BeginEvent(ResultTask(0, 9),org.apache.spark.scheduler.TaskInfo@4b3ad405))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383938	DagScheduler(CompletionEvent(ResultTask(0, 7),Success,Some(78524),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 10), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 4820933), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 8), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 8082298), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@4e403bc))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383957	DagScheduler(BeginEvent(ResultTask(0, 10),org.apache.spark.scheduler.TaskInfo@7171605b))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383958	DagScheduler(CompletionEvent(ResultTask(0, 9),Success,Some(78567),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 5), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3472182), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 8), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 8101575), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@4b3ad405))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383969	DagScheduler(BeginEvent(ResultTask(0, 11),org.apache.spark.scheduler.TaskInfo@55ac742a))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383970	DagScheduler(CompletionEvent(ResultTask(0, 8),Success,Some(78659),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 6), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3500889), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 24), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 8255655), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@51d407df))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383982	DagScheduler(BeginEvent(ResultTask(0, 12),org.apache.spark.scheduler.TaskInfo@24b76bbf))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383983	DagScheduler(CompletionEvent(ResultTask(0, 10),Success,Some(78535),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 3), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3440361), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 15), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7474232), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1128), LongAccumulator(id: 6, name: Some(internal.metrics.resultSerializationTime), value: 1)),org.apache.spark.scheduler.TaskInfo@7171605b))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383993	DagScheduler(BeginEvent(ResultTask(0, 13),org.apache.spark.scheduler.TaskInfo@393019d0))
a8146e20-00ae-4291-b35f-ed0435380333	1492087383993	DagScheduler(CompletionEvent(ResultTask(0, 11),Success,Some(78245),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 6), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3332322), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 7), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7498218), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@55ac742a))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384017	DagScheduler(BeginEvent(ResultTask(0, 14),org.apache.spark.scheduler.TaskInfo@43b9c515))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384017	DagScheduler(CompletionEvent(ResultTask(0, 13),Success,Some(78460),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 5), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3440047), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 9), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7974780), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@393019d0))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384023	DagScheduler(BeginEvent(ResultTask(0, 15),org.apache.spark.scheduler.TaskInfo@7582e46c))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384024	DagScheduler(CompletionEvent(ResultTask(0, 12),Success,Some(78633),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 9), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3662543), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 7), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 7867667), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@24b76bbf))
a8146e20-00ae-4291-b35f-ed0435380333	1492087384045	DagScheduler(BeginEvent(ResultTask(0, 16),org.apache.spark.scheduler.TaskInfo@6a7793f0))
