id	time	type
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286700	DagScheduler(CompletionEvent(ResultTask(0, 19),Success,Some(78406),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 843), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 265067555), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 153), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 134237167), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1929), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 56), CollectionAccumulator(id: 10, name: Some(internal.metrics.updatedBlockStatuses), value: [(broadcast_0_piece0,BlockStatus(StorageLevel(memory, 1 replicas),1177,0)), (broadcast_0,BlockStatus(StorageLevel(memory, deserialized, 1 replicas),1856,0))])),org.apache.spark.scheduler.TaskInfo@44540bf2))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286738	DagScheduler(BeginEvent(ResultTask(0, 26),org.apache.spark.scheduler.TaskInfo@76dc907f))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286739	DagScheduler(CompletionEvent(ResultTask(0, 1),Success,Some(78403),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 851), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 43323350), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 223), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 184667776), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1114), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 56)),org.apache.spark.scheduler.TaskInfo@3f2fe876))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286782	DagScheduler(BeginEvent(ResultTask(0, 27),org.apache.spark.scheduler.TaskInfo@12d1ada4))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286782	DagScheduler(CompletionEvent(ResultTask(0, 12),Success,Some(78311),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 852), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 20434328), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 270), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 245927110), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1114), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 41)),org.apache.spark.scheduler.TaskInfo@275ba156))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286791	DagScheduler(BeginEvent(ResultTask(0, 28),org.apache.spark.scheduler.TaskInfo@454c30ff))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286791	DagScheduler(CompletionEvent(ResultTask(0, 26),Success,Some(78505),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 3), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 2748787), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 34), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 34128067), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@76dc907f))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286821	DagScheduler(BeginEvent(ResultTask(0, 29),org.apache.spark.scheduler.TaskInfo@3a2a20bb))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286822	DagScheduler(CompletionEvent(ResultTask(0, 16),Success,Some(78588),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 846), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 28997923), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 311), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 252304483), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1114), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 56)),org.apache.spark.scheduler.TaskInfo@3a302575))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286846	DagScheduler(BeginEvent(ResultTask(0, 30),org.apache.spark.scheduler.TaskInfo@286700e9))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286846	DagScheduler(CompletionEvent(ResultTask(0, 28),Success,Some(78533),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 4), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 3097020), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 34), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 34157082), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1041)),org.apache.spark.scheduler.TaskInfo@454c30ff))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286863	DagScheduler(BeginEvent(ResultTask(0, 31),org.apache.spark.scheduler.TaskInfo@37c424cc))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286864	DagScheduler(CompletionEvent(ResultTask(0, 7),Success,Some(78601),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 849), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 32574904), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 356), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 317827837), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1114), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 56)),org.apache.spark.scheduler.TaskInfo@2a245401))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286883	DagScheduler(BeginEvent(ResultTask(0, 32),org.apache.spark.scheduler.TaskInfo@13ab3103))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286884	DagScheduler(CompletionEvent(ResultTask(0, 21),Success,Some(78563),ArrayBuffer(LongAccumulator(id: 0, name: Some(internal.metrics.executorDeserializeTime), value: 844), LongAccumulator(id: 1, name: Some(internal.metrics.executorDeserializeCpuTime), value: 15126125), LongAccumulator(id: 2, name: Some(internal.metrics.executorRunTime), value: 384), LongAccumulator(id: 3, name: Some(internal.metrics.executorCpuTime), value: 340483018), LongAccumulator(id: 4, name: Some(internal.metrics.resultSize), value: 1114), LongAccumulator(id: 5, name: Some(internal.metrics.jvmGCTime), value: 41)),org.apache.spark.scheduler.TaskInfo@12ab6e21))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286893	DagScheduler(BeginEvent(ResultTask(0, 33),org.apache.spark.scheduler.TaskInfo@786fe435))
8ff090f5-895c-4de5-b6cc-0f0cd198c4a1	1492089286894	DagScheduler(BeginEvent(ResultTask(0, 34),org.apache.spark.scheduler.TaskInfo@689fd399))
