id	time	type
b6018b85-6fdc-4646-8daa-a88d3060ae16	1491575053021	JVMStart()
b6018b85-6fdc-4646-8daa-a88d3060ae16	1491575053238	MainStart()
b6018b85-6fdc-4646-8daa-a88d3060ae16	1491575073883	MainEnd()
